key,title,author_name,first_publish_year,page_count
/works/OL17789329W,Thunder and Shadow,['Erin Hunter'],2016,408.0
/works/OL20240282W,Vicious,['L.J. Shen'],2016,384.0
/works/OL17823176W,Girl Online,"['Zoe Sugg', 'Eiry Miles']",2016,352.0
/works/OL19633556W,Infomocracy,"['Malka Older', 'Christine Marshall']",2016,384.0
/works/OL20152848W,Lost Stars,['Erin Hunter'],2016,304.0
/works/OL17876090W,Tell Me Three Things,['Julie Buxbaum'],2016,336.0
/works/OL17356545W,Fool Me Once,['Harlan Coben'],2016,416.0
/works/OL17358179W,The Misadventures of Max Crumbly,['Rachel Renée Russell'],2016,302.0
/works/OL18008835W,Of Fire and Stars,['Audrey Coulthurst'],2016,209.0
/works/OL19669206W,Three Dark Crowns,['Kendare Blake'],2016,375.0
/works/OL17356063W,Every Heart a Doorway,['Seanan McGuire'],2016,176.0
/works/OL19671405W,Ghost,['Jason Reynolds'],2016,185.0
/works/OL21145161W,Madonna in a Fur Coat,"['Sabahattin Ali', 'Alexander Dawe', 'Maureen Freely']",2016,176.0
/works/OL19739361W,Missione Niagara,['Elisabetta Dami'],2016,170.0
/works/OL17318863W,Cometh the Hour,['Jeffrey Archer'],2016,528.0
/works/OL20033197W,For Magnus Chase: Hotel Valhalla guide to the Norse worlds,['Rick Riordan'],2016,168.0
/works/OL17807504W,Swing Time,"['Zadie Smith', 'Pippa Bennett-warner', 'Eugenia Vázquez Nacarino']",2016,453.0
/works/OL20804234W,The Call of Cthulhu,['H.P. Lovecraft'],2016,64.0
/works/OL17820489W,"Big Nate, thunka, thunka, thunka",['Lincoln Pierce'],2016,174.0
/works/OL20036193W,Turbo twenty-three,['Janet Evanovich'],2016,308.0
/works/OL18149681W,Navigators of Dune,"['Brian Herbert', 'Kevin J. Anderson', 'Scott Brick']",2016,448.0
/works/OL19669023W,Love & gelato,['Jenna Evans Welch'],2016,389.0
/works/OL17842279W,The Obelisk Gate,['N. K. Jemisin'],2016,444.0
/works/OL17364508W,Pax,['Sara Pennypacker'],2016,296.0
/works/OL18189723W,Two by Two,['Nicholas Sparks'],2016,499.0
/works/OL17359390W,15th Affair,"['James Patterson', 'Maxine Paetro']",2016,400.0
/works/OL20026898W,A study in Charlotte,['Brittany Cavallaro'],2016,337.0
/works/OL19351465W,News of the World,['Paulette Jiles'],2016,232.0
/works/OL20044335W,The Bone Sparrow,['Zana Fraillon'],2016,256.0
/works/OL17356561W,Lilac Girls,"['Martha Hall Kelly', 'María Puerto Barruetabeña Díez']",2016,512.0
/works/OL21584106W,Wed to the Italian,['Sara Craven'],2016,560.0
/works/OL19711605W,Projekt 1065,['Alan Gratz'],2016,309.0
/works/OL20036179W,No man's land,['David Baldacci'],2016,464.0
/works/OL17610982W,Jacky Ha-Ha,"['James Patterson', 'Chris Grabenstein']",2016,384.0
/works/OL20020238W,Amulet,['Kazu Kibuishi'],2016,208.0
/works/OL20035177W,The hike,['Drew Magary'],2016,288.0
/works/OL17796133W,Owl Diaries,['Rebecca Elliott'],2016,80.0
/works/OL20098004W,The Girl of Ink & Stars,['Kiran Millwood Hargrave'],2016,240.0
/works/OL17599106W,El laberinto de los espíritus,['Carlos Ruiz Zafón'],2016,816.0
/works/OL27302828W,Nhà giả kim,['Paulo Coelho'],2016,225.0
/works/OL26416675W,The Goal,['Elle Kennedy'],2016,383.0
/works/OL20039241W,Hawkwing's Journey,['Erin Hunter'],2016,480.0
/works/OL20038654W,Cross the line,['James Patterson'],2016,400.0
/works/OL19346536W,The Last Star,['Richard Yancey'],2016,360.0
/works/OL17770858W,The Nix,['Nathan Hill'],2016,640.0
/works/OL17857694W,Revenger,['Alastair Reynolds'],2016,214.0
/works/OL20216395W,Prince Lestat and the Realms of Atlantis,['Anne Rice'],2016,584.0
/works/OL19622246W,Tales of the Peculiar,['Ransom Riggs'],2016,187.0
/works/OL20052676W,The dry,['Jane Harper'],2016,352.0
/works/OL20037197W,Gemina,"['Amie Kaufman', 'Jay Kristoff']",2016,672.0
/works/OL20240397W,Save Me a Seat,"['Sarah Weeks', 'Gita Varadarajan']",2016,256.0
/works/OL17834485W,Il Segreto delle Fate dei Fiori,"['Elisabetta Dami', 'Helena Aguilà']",2016,384.0
/works/OL17357359W,The Last Mile,['David Baldacci'],2016,470.0
/works/OL17629004W,Whatever After,['Sarah Mlynowski'],2016,177.0
/works/OL21083070W,Frozen Charlotte,['Alex Bell'],2016,352.0
/works/OL17868256W,Lovecraft Country,['Matt Ruff'],2016,384.0
/works/OL19768222W,The Ship of Secrets (Geronimo Stilton and the Kingdom of Fantasy #10),"['Elisabetta Dami', 'Miguel García', 'David Nel·lo']",2016,448.0
/works/OL17340195W,Star Wars - Bloodline,['Claudia Gray'],2016,424.0
/works/OL20036181W,Odessa Sea,"['Clive Cussler', 'Dirk Cussler']",2016,486.0
/works/OL21440976W,American Queen,"['Sierra Simone', 'Serena Tardioli']",2016,416.0
/works/OL20030771W,The course of love,['Alain De Botton'],2016,233.0
/works/OL17722496W,Truly Madly Guilty,['Liane Moriarty'],2016,505.0
/works/OL19346563W,The Blood Mirror,['Brent Weeks'],2016,704.0
/works/OL21559673W,And Every Morning the Way Home Gets Longer and Longer,"['Fredrik Backman', 'David Morse']",2016,96.0
/works/OL19356241W,This Was a Man,['Jeffrey Archer'],2016,552.0
/works/OL24335331W,RoomHate,['Penelope Ward'],2016,320.0
/works/OL20724667W,Bought for the Greek's revenge,"['Lynne Graham', 'Michelle Smart']",2016,224.0
/works/OL17822926W,The Midnight Star,['Marie Lu'],2016,368.0
/works/OL18818723W,The Flame Bearer (The Last Kingdom Series),['Bernard Cornwell'],2016,304.0
/works/OL17342632W,I Survived,"['Lauren Tarshis', 'David de Vries']",2016,112.0
/works/OL19324040W,Half Lost (The Half Bad Trilogy),['Sally Green'],2016,354.0
/works/OL17756650W,Symptoms of Being Human,['Jeff Garvin'],2016,177.0
/works/OL17767855W,The Wonder,['Emma Donoghue'],2016,304.0
/works/OL17900771W,Marrying Winterborne,['Lisa Kleypas'],2016,416.0
/works/OL27701041W,Bought,"['Lauren Landish', 'Willow Winters']",2016,300.0
